Created;Puls In A (vertrek SWW Hotel),  HT SWW, m3;Puls In B (retour SWW Hotel),  HT SWW, m3;
2023-08-31 00:00:00;33290,960;28795,650;
2023-08-31 01:00:00;33290,960;28795,650;
2023-08-31 02:00:00;33290,960;28795,650;
2023-08-31 03:00:00;33290,960;28795,650;
2023-08-31 04:00:00;33290,960;28795,650;
2023-08-31 05:00:00;33290,970;28795,650;
2023-08-31 06:00:00;33291,090;28795,660;
2023-08-31 07:00:00;33291,180;28795,660;
2023-08-31 08:00:00;33291,440;28795,680;
2023-08-31 09:00:00;33291,490;28795,680;
2023-08-31 10:00:00;33291,500;28795,680;
2023-08-31 11:00:00;N/A;N/A;
2023-08-31 12:00:00;N/A;N/A;
2023-08-31 13:00:00;33291,550;28795,680;
2023-08-31 14:00:00;33291,610;28795,680;
2023-08-31 15:00:00;33291,630;28795,680;
2023-08-31 16:00:00;33291,680;28795,690;
2023-08-31 17:00:00;33291,710;28795,720;
2023-08-31 18:00:00;33291,740;28795,760;
2023-08-31 19:00:00;33291,790;28795,800;
2023-08-31 20:00:00;33291,840;28795,840;
2023-08-31 21:00:00;33291,890;28795,880;
2023-08-31 22:00:00;33292,040;28795,920;
2023-08-31 23:00:00;33292,130;28795,960;
2023-09-01 00:00:00;33292,160;28796,000;
2023-09-01 01:00:00;33292,200;28796,040;
2023-09-01 02:00:00;33292,220;28796,080;
2023-09-01 03:00:00;33292,250;28796,120;
2023-09-01 04:00:00;33292,280;28796,170;
2023-09-01 05:00:00;33292,310;28796,210;
2023-09-01 06:00:00;33292,330;28796,250;
2023-09-01 07:00:00;33292,460;28796,300;
2023-09-01 08:00:00;33292,570;28796,350;
2023-09-01 09:00:00;33292,600;28796,390;
2023-09-01 10:00:00;33294,160;28797,850;
2023-09-01 11:00:00;33295,740;28799,440;
2023-09-01 12:00:00;33297,490;28801,190;
2023-09-01 13:00:00;33299,990;28803,720;
2023-09-01 14:00:00;33302,470;28806,230;
2023-09-01 15:00:00;33305,000;28808,740;
2023-09-01 16:00:00;33307,490;28811,260;
2023-09-01 17:00:00;33309,070;28812,790;
2023-09-01 18:00:00;33310,690;28814,300;
2023-09-01 19:00:00;33312,250;28815,810;
2023-09-01 20:00:00;33313,820;28817,320;
2023-09-01 21:00:00;33315,380;28818,830;
2023-09-01 22:00:00;33316,940;28820,330;
2023-09-01 23:00:00;33318,510;28821,850;
2023-09-02 00:00:00;33320,100;28823,400;
2023-09-02 01:00:00;33321,660;28824,930;
2023-09-02 02:00:00;33323,190;28826,470;
2023-09-02 03:00:00;33324,710;28827,990;
2023-09-02 04:00:00;33326,260;28829,550;
2023-09-02 05:00:00;33327,810;28831,100;
2023-09-02 06:00:00;33329,370;28832,630;
2023-09-02 07:00:00;33330,980;28834,150;
2023-09-02 08:00:00;33332,580;28835,670;
2023-09-02 09:00:00;33334,160;28837,230;
2023-09-02 10:00:00;33335,770;28838,760;
2023-09-02 11:00:00;33337,370;28840,290;
2023-09-02 12:00:00;33338,940;28841,850;
2023-09-02 13:00:00;33340,480;28843,390;
2023-09-02 14:00:00;33342,050;28844,900;
2023-09-02 15:00:00;33343,600;28846,450;
2023-09-02 16:00:00;33345,140;28848,000;
2023-09-02 17:00:00;33346,780;28849,520;
2023-09-02 18:00:00;33348,470;28851,030;
2023-09-02 19:00:00;33350,470;28852,520;
